index,Date,Category,Grantee,Project,Amount,Logo,URL,Websites
0,April 2014 – December 2015,Business Enabling Environment,AEJ Bulgaria,"‘Mediator’, Interactive Platform for Supporting Independent Journalism",178500,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=668&project_year=all&project_area=all&project_search=,aej-bulgaria.org
1,November 2016 – February 2019,Business Enabling Environment,AEJ Bulgaria,Mediator: A Bridge between Ethical Journalism and the Society,363420,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=1720&project_year=all&project_area=all&project_search=,aej-bulgaria.org
2,June 2018 – October 2019,Business Enabling Environment,AEJ Bulgaria,Media Literacy in the Classroom,214920,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=1849&project_year=all&project_area=all&project_search=,aej-bulgaria.org
3,February 2020 – April 2022,Business Enabling Environment,AEJ Bulgaria,From Critical Thinking in Class to Ethical and Independent Journalism,597100,https://api.us4bg.org/api/images/ListingImage/aa1eff96-80cf-4454-8216-42ed2e0814f3,https://us4bg.org//our-projects/?project_id=1926&project_year=all&project_area=all&project_search=,aej-bulgaria.org
4,May 2018 – November 2019,Business Enabling Environment,Alpico Publishing Ltd,Support for independent investigative journalism in the northwest,169420,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=1836&project_year=all&project_area=all&project_search=,"zovnews.com vratzanews.com www.vecherni-novini.bg zovsport.com"
5,April 2018 – April 2020,Business Enabling Environment,Association for Free Media Association,Independent regional investigative journalism,163340,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=1826&project_year=all&project_area=all&project_search=,
6,January 2010 – October 2010,Business Enabling Environment,Bulgarian Association,Regional Media Training,70230,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=223&project_year=all&project_area=all&project_search=,
7,March 2013 – September 2013,Business Enabling Environment,Bulgarian National TV,Investigative reporting on 2013 Parliamentary Elections,65000,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=563&project_year=all&project_area=all&project_search=,bnt.bg
8,January 2011 – January 2012,Business Enabling Environment,Bulgarian National Television,The World: a TV Program in International Field,500500,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-8.jpg,https://us4bg.org//our-projects/?project_id=344&project_year=all&project_area=all&project_search=,bnt.bg
9,December 2020 – September 2021,Developing and Retaining Human Capital,Coalition for Media Literacy Association,Media literacy through distance learning,35320,https://us4bg.org/wp-content/themes/us4bg/img/areas/placeholder-9.jpg,https://us4bg.org//our-projects/?project_id=2004&project_year=all&project_area=all&project_search=,gramoten.li
